title,image,score,studio,genre,created_at
Inu x Boku SS,https://myanimelist.cdn-dena.com/images/anime/12/35893.jpg,7.63,David Production,"Comedy, Supernatural, Romance, Shounen",2022-12-01
Seto no Hanayome,https://myanimelist.cdn-dena.com/images/anime/13/58383.jpg,7.89,Gonzo,"Comedy, Parody, Romance, School, Shounen",2022-12-01
Shugo Chara!! Doki,https://myanimelist.cdn-dena.com/images/anime/11/10645.jpg,7.55,Satelight,"Comedy, Magic, School, Shoujo",2022-12-01
Princess Tutu,https://myanimelist.cdn-dena.com/images/anime/13/32209.jpg,8.21,Hal Film Maker,"Comedy, Drama, Magic, Romance, Fantasy",2022-12-01
Bakuman. 3rd Season,https://myanimelist.cdn-dena.com/images/anime/6/41845.jpg,8.67,J.C.Staff,"Comedy, Drama, Romance, Shounen",2022-12-01
Yume-iro Pâtissière,https://myanimelist.cdn-dena.com/images/anime/12/21674.jpg,8.03,"Studio Pierrot, Studio Hibari","Kids, School, Shoujo",2022-12-01
Ultra Maniac,https://myanimelist.cdn-dena.com/images/anime/8/53571.jpg,7.26,Production Reed,"Magic, Comedy, Romance, School, Shoujo",2022-12-01
Shakugan no Shana II (Second),https://myanimelist.cdn-dena.com/images/anime/10/18669.jpg,7.72,J.C.Staff,"Action, Drama, Fantasy, Romance, School, Supernatural",2022-12-01
Nodame Cantabile: Paris-hen,https://myanimelist.cdn-dena.com/images/anime/4/11918.jpg,8.24,J.C.Staff,"Music, Slice of Life, Comedy, Romance, Josei",2022-12-01
Ouran Koukou Host Club,https://myanimelist.cdn-dena.com/images/anime/2/71992.jpg,8.34,Bones,"Comedy, Harem, Romance, School, Shoujo",2022-12-01
Junjou Romantica 2,https://myanimelist.cdn-dena.com/images/anime/6/38417.jpg,8.15,Studio Deen,"Comedy, Drama, Romance, Shounen Ai",2022-12-01
Kaichou wa Maid-sama!,https://myanimelist.cdn-dena.com/images/anime/6/25254.jpg,8.2,J.C.Staff,"Comedy, Romance, School, Shoujo",2022-12-01
Sekaiichi Hatsukoi 2,https://myanimelist.cdn-dena.com/images/anime/8/34871.jpg,8.23,Studio Deen,"Comedy, Drama, Romance, Shounen Ai",2022-12-01
Tonari no Kaibutsu-kun,https://myanimelist.cdn-dena.com/images/anime/4/39779.jpg,7.71,Brain&#039;s Base,"Slice of Life, Comedy, Romance, School, Shoujo",2022-12-01
Bleach,https://myanimelist.cdn-dena.com/images/anime/3/40451.jpg,7.9,Studio Pierrot,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",2022-12-01
Chobits,https://myanimelist.cdn-dena.com/images/anime/4/24648.jpg,7.53,Madhouse,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",2022-12-01
Kimi ni Todoke,https://myanimelist.cdn-dena.com/images/anime/7/17890.jpg,8.13,Production I.G,"Slice of Life, Drama, Romance, School, Shoujo",2022-12-01
Naruto: Shippuuden,https://myanimelist.cdn-dena.com/images/anime/5/17407.jpg,8.18,Studio Pierrot,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",2022-12-01
Ranma ½,https://myanimelist.cdn-dena.com/images/anime/13/6441.jpg,7.85,Studio Deen,"Slice of Life, Comedy, Martial Arts, Fantasy",2022-12-01
Toradora!,https://myanimelist.cdn-dena.com/images/anime/13/22128.jpg,8.39,J.C.Staff,"Slice of Life, Comedy, Romance, School",2022-12-01
Bakuman. 2nd Season,https://myanimelist.cdn-dena.com/images/anime/3/34923.jpg,8.49,J.C.Staff,"Comedy, Drama, Romance, Shounen",2022-12-01
Gakuen Alice,https://myanimelist.cdn-dena.com/images/anime/4/18118.jpg,7.77,Group TAC,"Comedy, School, Shoujo, Super Power",2022-12-01
Skip Beat!,https://myanimelist.cdn-dena.com/images/anime/11/84022.jpg,8.24,Hal Film Maker,"Comedy, Drama, Romance, Shoujo",2022-12-01
Chihayafuru 2,https://myanimelist.cdn-dena.com/images/anime/6/47435.jpg,8.47,Madhouse,"Drama, Game, Josei, School, Slice of Life, Sports",2022-12-01